r2_cid,r2_sid
"Sobek     ","HCHS2-Dis "
"Sobek     ","HCHS2-Par "
"Sobek     ","MefS2     "
"Sobek     ","MefS2-Dis "
"Sobek     ","MefS2-Par "
"Sobek     ","153-dis   "
"Sobek     ","153-par   "
"Sobek     ","Atr-dis   "
"Sobek     ","Atr-par   "
"Sobek     ","BaP-dis   "
"Sobek     ","BaP-par   "
"Sobek     ","Diu-dis   "
"Sobek     ","Diu-par   "
"Sobek     ","Flu-dis   "
"Sobek     ","Flu-par   "
"Sobek     ","HCB-dis   "
"Sobek     ","HCB-par   "
"Sobek     ","HCH-dis   "
"Sobek     ","HCH-par   "
"Sobek     ","Mef-dis   "
"Sobek     ","Mef-par   "
"Sobek     ","POSi1     "
"Sobek     ","NH3       "
"Sobek     ","OMPS1     "
"Sobek     ","OMPS1-Dis "
"Sobek     ","OMPS1-Par "
"Sobek     ","OMPS2     "
"Sobek     ","OMPS2-Dis "
"Sobek     ","OMPS2-Par "
"Sobek     ","OMP-dis   "
"Sobek     ","OMP-par   "
"Sobek     ","VB01      "
"Sobek     ","VB02      "
"Sobek     ","VB03      "
"Sobek     ","VB04      "
"Sobek     ","VB05      "
"Sobek     ","VB06      "
"Sobek     ","VB07      "
"Sobek     ","VB08      "
"Sobek     ","VB09      "
"WAQ       ","Continuity"
"WAQ       ","ModTemp   "
"WAQ       ","FrCon     "
"WAQ       ","FrFlow    "
"WAQ       ","SalBnd    "
"WAQ       ","Salinity  "
"WAQ       ","Cl        "
"WAQ       ","IM1       "
"WAQ       ","IM2       "
"WAQ       ","IM3       "
"WAQ       ","Cd        "
"WAQ       ","Cu        "
"WAQ       ","Zn        "
"WAQ       ","Cr        "
"WAQ       ","Hg        "
"WAQ       ","Pb        "
"WAQ       ","As        "
"WAQ       ","Va        "
"WAQ       ","Ni        "
"WAQ       ","BODC      "
"WAQ       ","NO3       "
"WAQ       ","NH4       "
"WAQ       ","DetN      "
"WAQ       ","PO4       "
"WAQ       ","AAP       "
"WAQ       ","DetP      "
"WAQ       ","Si        "
"WAQ       ","DetSi     "
"WAQ       ","OXY       "
"WAQ       ","TColi     "
"WAQ       ","EColi     "
"WAQ       ","FColi     "
"WAQ       ","EnCoc     "
"WAQ       ","153       "
"WAQ       ","ATR       "
"WAQ       ","BaP       "
"WAQ       ","Flu       "
"WAQ       ","Mef       "
"WAQ       ","Diu       "
"WAQ       ","HCH       "
"WAQ       ","HCB       "
"WAQ       ","cTR1      "
"WAQ       ","dTR1      "
"WAQ       ","cTR2      "
"WAQ       ","dTR2      "
"WAQ       ","cTR3      "
"WAQ       ","dTR3      "
"WAQ       ","cTR4      "
"WAQ       ","dTR4      "
"WAQ       ","cTR5      "
"WAQ       ","dTR5      "
"WAQ       ","TIC       "
"WAQ       ","H+        "
"WAQ       ","H2O       "
"WAQ       ","CBOD5     "
"WAQ       ","CBOD5_2   "
"WAQ       ","CBOD5_3   "
"WAQ       ","CBODu     "
"WAQ       ","CBODu_2   "
"WAQ       ","COD_Cr    "
"WAQ       ","COD_Mn    "
"WAQ       ","NBOD5     "
"WAQ       ","NBODu     "
"WAQ       ","POC1      "
"WAQ       ","POC2      "
"WAQ       ","POC3      "
"WAQ       ","POC4      "
"WAQ       ","DOC       "
"WAQ       ","PON1      "
"WAQ       ","PON2      "
"WAQ       ","PON3      "
"WAQ       ","PON4      "
"WAQ       ","DON       "
"WAQ       ","POP1      "
"WAQ       ","POP2      "
"WAQ       ","POP3      "
"WAQ       ","POP4      "
"WAQ       ","DOP       "
"WAQ       ","POS1      "
"WAQ       ","POS2      "
"WAQ       ","POS3      "
"WAQ       ","POS4      "
"WAQ       ","DOS       "
"WAQ       ","Opal      "
"WAQ       ","MPB1peli  "
"WAQ       ","MPB2psam  "
"WAQ       ","Mnd1Diat-m"
"WAQ       ","Mnd2Flag-m"
"WAQ       ","Mnd3Diat-f"
"WAQ       ","Mnd4Flag-f"
"WAQ       ","OMP       "
"WAQ       ","SO4       "
"WAQ       ","SUD       "
"WAQ       ","SUP       "
"WAQ       ","VIVP      "
"WAQ       ","APATP     "
"WAQ       ","CH4       "
"WAQ       ","CO2       "
"WAQ       ","Alka      "
"WAQ       ","FeIIIpa   "
"WAQ       ","FeIIIpc   "
"WAQ       ","FeIIId    "
"WAQ       ","FeIId     "
"WAQ       ","FeS       "
"WAQ       ","FeS2      "
"WAQ       ","FeCO3     "
"WAQ       ","APHANFIX  "
"WAQ       ","APHANIZO  "
"WAQ       ","BLUEGRN   "
"WAQ       ","DINOFLAG  "
"WAQ       ","DINOMIX   "
"WAQ       ","FDIATOMS  "
"WAQ       ","FFLAGELA  "
"WAQ       ","GREENS    "
"WAQ       ","MDIATOMS  "
"WAQ       ","MFLAGELA  "
"WAQ       ","MICROCYS  "
"WAQ       ","OSCILAT   "
"WAQ       ","PHAEOCYS  "
"WAQ       ","UlvaF     "
"WAQ       ","UlvaS     "
"WAQ       ","NODULA    "
"WAQ       ","ANABAENA  "
"WAQ       ","AlgN      "
"WAQ       ","AlgP      "
"WAQ       ","AlgSi     "
"WAQ       ","IM1S1     "
"WAQ       ","IM2S1     "
"WAQ       ","IM3S1     "
"WAQ       ","OOCS1     "
"WAQ       ","IM1S2     "
"WAQ       ","IM2S2     "
"WAQ       ","IM3S2     "
"WAQ       ","OOCS2     "
"WAQ       ","DetCS1    "
"WAQ       ","DiatS1    "
"WAQ       ","GreenS1   "
"WAQ       ","AAPS1     "
"WAQ       ","DetNS1    "
"WAQ       ","DetPS1    "
"WAQ       ","DetSiS1   "
"WAQ       ","OONS1     "
"WAQ       ","OOPS1     "
"WAQ       ","OOSiS1    "
"WAQ       ","MPB1peliS1"
"WAQ       ","MPB2psamS1"
"WAQ       ","DetCS2    "
"WAQ       ","DiatS2    "
"WAQ       ","GreenS2   "
"WAQ       ","AAPS2     "
"WAQ       ","DetNS2    "
"WAQ       ","DetPS2    "
"WAQ       ","DetSiS2   "
"WAQ       ","OONS2     "
"WAQ       ","OOPS2     "
"WAQ       ","OOSiS2    "
"WAQ       ","MPB1peliS2"
"WAQ       ","MPB2psamS2"
"WAQ       ","POC5      "
"WAQ       ","PON5      "
"WAQ       ","POP5      "
"WAQ       ","POS5      "
"WAQ       ","SOD       "
"WAQ       ","Bulkvolume"
"WAQ       ","Cd-Dis    "
"WAQ       ","Cd-Par    "
"WAQ       ","Cr-Dis    "
"WAQ       ","Cr-Par    "
"WAQ       ","Cu-Dis    "
"WAQ       ","Cu-Par    "
"WAQ       ","Hg-Dis    "
"WAQ       ","Hg-Par    "
"WAQ       ","Ni-Dis    "
"WAQ       ","Ni-Par    "
"WAQ       ","Pb-Dis    "
"WAQ       ","Pb-Par    "
"WAQ       ","As-Dis    "
"WAQ       ","As-Par    "
"WAQ       ","Va-Dis    "
"WAQ       ","Va-Par    "
"WAQ       ","Zn-Dis    "
"WAQ       ","Zn-Par    "
"WAQ       ","CdS1      "
"WAQ       ","CdS1-Dis  "
"WAQ       ","CdS1-Par  "
"WAQ       ","CrS1      "
"WAQ       ","CrS1-Dis  "
"WAQ       ","CrS1-Par  "
"WAQ       ","CuS1      "
"WAQ       ","CuS1-Dis  "
"WAQ       ","CuS1-Par  "
"WAQ       ","HgS1      "
"WAQ       ","HgS1-Dis  "
"WAQ       ","HgS1-Par  "
"WAQ       ","NiS1      "
"WAQ       ","NiS1-Dis  "
"WAQ       ","NiS1-Par  "
"WAQ       ","PbS1      "
"WAQ       ","PbS1-Dis  "
"WAQ       ","PbS1-Par  "
"WAQ       ","AsS1      "
"WAQ       ","AsS1-Dis  "
"WAQ       ","AsS1-Par  "
"WAQ       ","VaS1      "
"WAQ       ","VaS1-Dis  "
"WAQ       ","VaS1-Par  "
"WAQ       ","ZnS1      "
"WAQ       ","ZnS1-Dis  "
"WAQ       ","ZnS1-Par  "
"WAQ       ","CdS2      "
"WAQ       ","CdS2-Dis  "
"WAQ       ","CdS2-Par  "
"WAQ       ","CrS2      "
"WAQ       ","CrS2-Dis  "
"WAQ       ","CrS2-Par  "
"WAQ       ","CuS2      "
"WAQ       ","CuS2-Dis  "
"WAQ       ","CuS2-Par  "
"WAQ       ","HgS2      "
"WAQ       ","HgS2-Dis  "
"WAQ       ","HgS2-Par  "
"WAQ       ","NiS2      "
"WAQ       ","NiS2-Dis  "
"WAQ       ","NiS2-Par  "
"WAQ       ","PbS2      "
"WAQ       ","PbS2-Dis  "
"WAQ       ","PbS2-Par  "
"WAQ       ","AsS2      "
"WAQ       ","AsS2-Dis  "
"WAQ       ","AsS2-Par  "
"WAQ       ","VaS2      "
"WAQ       ","VaS2-Dis  "
"WAQ       ","VaS2-Par  "
"WAQ       ","ZnS2      "
"WAQ       ","ZnS2-Dis  "
"WAQ       ","ZnS2-Par  "
"WAQ       ","153S1     "
"WAQ       ","153S1-Dis "
"WAQ       ","153S1-Par "
"WAQ       ","AtrS1     "
"WAQ       ","AtrS1-Dis "
"WAQ       ","AtrS1-Par "
"WAQ       ","BaPS1     "
"WAQ       ","BaPS1-Dis "
"WAQ       ","BaPS1-Par "
"WAQ       ","DiuS1     "
"WAQ       ","DiuS1-Dis "
"WAQ       ","DiuS1-Par "
"WAQ       ","FluS1     "
"WAQ       ","FluS1-Dis "
"WAQ       ","FluS1-Par "
"WAQ       ","HCBS1     "
"WAQ       ","HCBS1-Dis "
"WAQ       ","HCBS1-Par "
"WAQ       ","HCHS1     "
"WAQ       ","HCHS1-Dis "
"WAQ       ","HCHS1-Par "
"WAQ       ","MefS1     "
"WAQ       ","MefS1-Dis "
"WAQ       ","MefS1-Par "
"WAQ       ","153S2     "
"WAQ       ","153S2-Dis "
"WAQ       ","153S2-Par "
"WAQ       ","AtrS2     "
"WAQ       ","AtrS2-Dis "
"WAQ       ","AtrS2-Par "
"WAQ       ","BaPS2     "
"WAQ       ","BaPS2-Dis "
"WAQ       ","BaPS2-Par "
"WAQ       ","DiuS2     "
"WAQ       ","DiuS2-Dis "
"WAQ       ","DiuS2-Par "
"WAQ       ","FluS2     "
"WAQ       ","FluS2-Dis "
"WAQ       ","FluS2-Par "
"WAQ       ","HCBS2     "
"WAQ       ","HCBS2-Dis "
"WAQ       ","HCBS2-Par "
"WAQ       ","HCHS2     "
"WAQ       ","HCHS2-Dis "
"WAQ       ","HCHS2-Par "
"WAQ       ","MefS2     "
"WAQ       ","MefS2-Dis "
"WAQ       ","MefS2-Par "
"WAQ       ","153-dis   "
"WAQ       ","153-par   "
"WAQ       ","Atr-dis   "
"WAQ       ","Atr-par   "
"WAQ       ","BaP-dis   "
"WAQ       ","BaP-par   "
"WAQ       ","Diu-dis   "
"WAQ       ","Diu-par   "
"WAQ       ","Flu-dis   "
"WAQ       ","Flu-par   "
"WAQ       ","HCB-dis   "
"WAQ       ","HCB-par   "
"WAQ       ","HCH-dis   "
"WAQ       ","HCH-par   "
"WAQ       ","Mef-dis   "
"WAQ       ","Mef-par   "
"WAQ       ","POSi1     "
"WAQ       ","NH3       "
"WAQ       ","OMPS1     "
"WAQ       ","OMPS1-Dis "
"WAQ       ","OMPS1-Par "
"WAQ       ","OMPS2     "
"WAQ       ","OMPS2-Dis "
"WAQ       ","OMPS2-Par "
"WAQ       ","OMP-dis   "
"WAQ       ","OMP-par   "
"WAQ       ","VB01      "
"WAQ       ","VB02      "
"WAQ       ","VB03      "
"WAQ       ","VB04      "
"WAQ       ","VB05      "
"WAQ       ","VB06      "
"WAQ       ","VB07      "
"WAQ       ","VB08      "
"WAQ       ","VB09      "
"WAQS      ","Continuity"
"WAQS      ","ModTemp   "
"WAQS      ","FrCon     "
"WAQS      ","FrFlow    "
"WAQS      ","SalBnd    "
"WAQS      ","Salinity  "
"WAQS      ","Cl        "
"WAQS      ","IM1       "
"WAQS      ","IM2       "
"WAQS      ","IM3       "
"WAQS      ","Cd        "
"WAQS      ","Cu        "
"WAQS      ","Zn        "
"WAQS      ","Cr        "
"WAQS      ","Hg        "
"WAQS      ","Pb        "
"WAQS      ","As        "
"WAQS      ","Va        "
"WAQS      ","Ni        "
"WAQS      ","BODC      "
"WAQS      ","Green     "
"WAQS      ","Diat      "
"WAQS      ","NO3       "
"WAQS      ","NH4       "
"WAQS      ","DetN      "
"WAQS      ","PO4       "
"WAQS      ","AAP       "
"WAQS      ","DetP      "
"WAQS      ","Si        "
"WAQS      ","DetSi     "
"WAQS      ","OXY       "
"WAQS      ","TColi     "
"WAQS      ","EColi     "
"WAQS      ","FColi     "
"WAQS      ","EnCoc     "
"WAQS      ","153       "
"WAQS      ","ATR       "
"WAQS      ","BaP       "
"WAQS      ","Flu       "
"WAQS      ","Mef       "
"WAQS      ","Diu       "
"WAQS      ","HCH       "
"WAQS      ","HCB       "
"WAQS      ","cTR1      "
"WAQS      ","dTR1      "
"WAQS      ","cTR2      "
"WAQS      ","dTR2      "
"WAQS      ","cTR3      "
"WAQS      ","dTR3      "
"WAQS      ","cTR4      "
"WAQS      ","dTR4      "
"WAQS      ","cTR5      "
"WAQS      ","dTR5      "
"WAQS      ","TIC       "
"WAQS      ","H+        "
"WAQS      ","H2O       "
"WAQS      ","CBOD5     "
"WAQS      ","CBOD5_2   "
"WAQS      ","CBOD5_3   "
"WAQS      ","CBODu     "
"WAQS      ","CBODu_2   "
"WAQS      ","COD_Cr    "
"WAQS      ","COD_Mn    "
"WAQS      ","NBOD5     "
"WAQS      ","NBODu     "
"WAQS      ","POC1      "
"WAQS      ","POC2      "
"WAQS      ","POC3      "
"WAQS      ","POC4      "
"WAQS      ","DOC       "
"WAQS      ","PON1      "
"WAQS      ","PON2      "
"WAQS      ","PON3      "
"WAQS      ","PON4      "
"WAQS      ","DON       "
"WAQS      ","POP1      "
"WAQS      ","POP2      "
"WAQS      ","POP3      "
"WAQS      ","POP4      "
"WAQS      ","DOP       "
"WAQS      ","POS1      "
"WAQS      ","POS2      "
"WAQS      ","POS3      "
"WAQS      ","POS4      "
"WAQS      ","DOS       "
"WAQS      ","Opal      "
"WAQS      ","MPB1peli  "
"WAQS      ","MPB2psam  "
"WAQS      ","Mnd1Diat-m"
"WAQS      ","Mnd2Flag-m"
"WAQS      ","Mnd3Diat-f"
"WAQS      ","Mnd4Flag-f"
"WAQS      ","OMP       "
"WAQS      ","SO4       "
"WAQS      ","SUD       "
"WAQS      ","SUP       "
"WAQS      ","VIVP      "
"WAQS      ","APATP     "
"WAQS      ","CH4       "
"WAQS      ","CO2       "
"WAQS      ","Alka      "
"WAQS      ","FeIIIpa   "
"WAQS      ","FeIIIpc   "
"WAQS      ","FeIIId    "
"WAQS      ","FeIId     "
"WAQS      ","FeS       "
"WAQS      ","FeS2      "
"WAQS      ","FeCO3     "
"WAQS      ","AlgN      "
"WAQS      ","AlgP      "
"WAQS      ","AlgSi     "
"WAQS      ","IM1S1     "
"WAQS      ","IM2S1     "
"WAQS      ","IM3S1     "
"WAQS      ","OOCS1     "
"WAQS      ","IM1S2     "
"WAQS      ","IM2S2     "
"WAQS      ","IM3S2     "
"WAQS      ","OOCS2     "
"WAQS      ","DetCS1    "
"WAQS      ","DiatS1    "
"WAQS      ","GreenS1   "
"WAQS      ","AAPS1     "
"WAQS      ","DetNS1    "
"WAQS      ","DetPS1    "
"WAQS      ","DetSiS1   "
"WAQS      ","OONS1     "
"WAQS      ","OOPS1     "
"WAQS      ","OOSiS1    "
"WAQS      ","MPB1peliS1"
"WAQS      ","MPB2psamS1"
"WAQS      ","DetCS2    "
"WAQS      ","DiatS2    "
"WAQS      ","GreenS2   "
"WAQS      ","AAPS2     "
"WAQS      ","DetNS2    "
"WAQS      ","DetPS2    "
"WAQS      ","DetSiS2   "
"WAQS      ","OONS2     "
"WAQS      ","OOPS2     "
"WAQS      ","OOSiS2    "
"WAQS      ","MPB1peliS2"
"WAQS      ","MPB2psamS2"
"WAQS      ","POC5      "
"WAQS      ","PON5      "
"WAQS      ","POP5      "
"WAQS      ","POS5      "
"WAQS      ","SOD       "
"WAQS      ","Bulkvolume"
"WAQS      ","Cd-Dis    "
"WAQS      ","Cd-Par    "
"WAQS      ","Cr-Dis    "
"WAQS      ","Cr-Par    "
"WAQS      ","Cu-Dis    "
"WAQS      ","Cu-Par    "
"WAQS      ","Hg-Dis    "
"WAQS      ","Hg-Par    "
"WAQS      ","Ni-Dis    "
"WAQS      ","Ni-Par    "
"WAQS      ","Pb-Dis    "
"WAQS      ","Pb-Par    "
"WAQS      ","As-Dis    "
"WAQS      ","As-Par    "
"WAQS      ","Va-Dis    "
"WAQS      ","Va-Par    "
"WAQS      ","Zn-Dis    "
"WAQS      ","Zn-Par    "
"WAQS      ","CdS1      "
"WAQS      ","CdS1-Dis  "
"WAQS      ","CdS1-Par  "
"WAQS      ","CrS1      "
"WAQS      ","CrS1-Dis  "
"WAQS      ","CrS1-Par  "
"WAQS      ","CuS1      "
"WAQS      ","CuS1-Dis  "
"WAQS      ","CuS1-Par  "
"WAQS      ","HgS1      "
"WAQS      ","HgS1-Dis  "
"WAQS      ","HgS1-Par  "
"WAQS      ","NiS1      "
"WAQS      ","NiS1-Dis  "
"WAQS      ","NiS1-Par  "
"WAQS      ","PbS1      "
"WAQS      ","PbS1-Dis  "
"WAQS      ","PbS1-Par  "
"WAQS      ","AsS1      "
"WAQS      ","AsS1-Dis  "
"WAQS      ","AsS1-Par  "
"WAQS      ","VaS1      "
"WAQS      ","VaS1-Dis  "
"WAQS      ","VaS1-Par  "
"WAQS      ","ZnS1      "
"WAQS      ","ZnS1-Dis  "
"WAQS      ","ZnS1-Par  "
"WAQS      ","CdS2      "
"WAQS      ","CdS2-Dis  "
"WAQS      ","CdS2-Par  "
"WAQS      ","CrS2      "
"WAQS      ","CrS2-Dis  "
"WAQS      ","CrS2-Par  "
"WAQS      ","CuS2      "
"WAQS      ","CuS2-Dis  "
"WAQS      ","CuS2-Par  "
"WAQS      ","HgS2      "
"WAQS      ","HgS2-Dis  "
"WAQS      ","HgS2-Par  "
"WAQS      ","NiS2      "
"WAQS      ","NiS2-Dis  "
"WAQS      ","NiS2-Par  "
"WAQS      ","PbS2      "
"WAQS      ","PbS2-Dis  "
"WAQS      ","PbS2-Par  "
"WAQS      ","AsS2      "
"WAQS      ","AsS2-Dis  "
"WAQS      ","AsS2-Par  "
"WAQS      ","VaS2      "
"WAQS      ","VaS2-Dis  "
"WAQS      ","VaS2-Par  "
"WAQS      ","ZnS2      "
"WAQS      ","ZnS2-Dis  "
"WAQS      ","ZnS2-Par  "
"WAQS      ","153S1     "
"WAQS      ","153S1-Dis "
"WAQS      ","153S1-Par "
"WAQS      ","AtrS1     "
"WAQS      ","AtrS1-Dis "
"WAQS      ","AtrS1-Par "
"WAQS      ","BaPS1     "
"WAQS      ","BaPS1-Dis "
"WAQS      ","BaPS1-Par "
"WAQS      ","DiuS1     "
"WAQS      ","DiuS1-Dis "
"WAQS      ","DiuS1-Par "
"WAQS      ","FluS1     "
"WAQS      ","FluS1-Dis "
"WAQS      ","FluS1-Par "
"WAQS      ","HCBS1     "
"WAQS      ","HCBS1-Dis "
"WAQS      ","HCBS1-Par "
"WAQS      ","HCHS1     "
"WAQS      ","HCHS1-Dis "
"WAQS      ","HCHS1-Par "
"WAQS      ","MefS1     "
"WAQS      ","MefS1-Dis "
"WAQS      ","MefS1-Par "
"WAQS      ","153S2     "
"WAQS      ","153S2-Dis "
"WAQS      ","153S2-Par "
"WAQS      ","AtrS2     "
"WAQS      ","AtrS2-Dis "
"WAQS      ","AtrS2-Par "
"WAQS      ","BaPS2     "
"WAQS      ","BaPS2-Dis "
"WAQS      ","BaPS2-Par "
"WAQS      ","DiuS2     "
"WAQS      ","DiuS2-Dis "
"WAQS      ","DiuS2-Par "
"WAQS      ","FluS2     "
"WAQS      ","FluS2-Dis "
"WAQS      ","FluS2-Par "
"WAQS      ","HCBS2     "
"WAQS      ","HCBS2-Dis "
"WAQS      ","HCBS2-Par "
"WAQS      ","HCHS2     "
"WAQS      ","HCHS2-Dis "
"WAQS      ","HCHS2-Par "
"WAQS      ","MefS2     "
"WAQS      ","MefS2-Dis "
"WAQS      ","MefS2-Par "
"WAQS      ","153-dis   "
"WAQS      ","153-par   "
"WAQS      ","Atr-dis   "
"WAQS      ","Atr-par   "
"WAQS      ","BaP-dis   "
"WAQS      ","BaP-par   "
"WAQS      ","Diu-dis   "
"WAQS      ","Diu-par   "
"WAQS      ","Flu-dis   "
"WAQS      ","Flu-par   "
"WAQS      ","HCB-dis   "
"WAQS      ","HCB-par   "
"WAQS      ","HCH-dis   "
"WAQS      ","HCH-par   "
"WAQS      ","Mef-dis   "
"WAQS      ","Mef-par   "
"WAQS      ","POSi1     "
"WAQS      ","NH3       "
"WAQS      ","OMPS1     "
"WAQS      ","OMPS1-Dis "
"WAQS      ","OMPS1-Par "
"WAQS      ","OMPS2     "
"WAQS      ","OMPS2-Dis "
"WAQS      ","OMPS2-Par "
"WAQS      ","OMP-dis   "
"WAQS      ","OMP-par   "
"WAQS      ","VB01      "
"WAQS      ","VB02      "
"WAQS      ","VB03      "
"WAQS      ","VB04      "
"WAQS      ","VB05      "
"WAQS      ","VB06      "
"WAQS      ","VB07      "
"WAQS      ","VB08      "
"WAQS      ","VB09      "
