procid,procco,procfo,procnm
"DynDepth  ",123,"DDEPTH    ","dynamic calculation of the depth                  "
"DynSurf   ",123,"DSURF     ","Dynamic calculation of the horizontal surface area"
"TotDepth  ",123,"TOTDEP    ","depth water column                                "
"Emersion  ",123,"EMERSI    ","handle emersion z layers                          "
"Meteo     ",123,"METEO     ","Process meteo from various meteo-stations         "
"HeatBal   ",123,"HEATFL    ","Total heat flux for surface water                 "
"DAYRAD    ",123,"DAYRAD    ","Irradiance over the day                           "
"Temperatur",123,"TEMPER    ","Temperature and heat exchange                     "
"VarSal    ",123,"VARSAL    ","salinity in case of constant river discharge      "
"Salinchlor",123,"SALCHL    ","onversion of salinity into chloride or vv         "
"Veloc     ",123,"VELOC     ","horizontal flow velocity                          "
"ResTim    ",123,"RESTIM    ","residence time                                    "
"VertDisp  ",  3,"STOX3D    ","Vertical dispersion (segment -> exchange)         "
"HorzDisper",  1,"HDISP     ","Horizontal dispersion in a 1D model               "
"HDisperVel",123,"HDISPV    ","Horizontal dispersion velocity dependent          "
"Age1      ",123,"WATAGE    ","Age of water from source 1                        "
"Age2      ",123,"WATAGE    ","Age of water from source 2                        "
"Age3      ",123,"WATAGE    ","Age of water from source 3                        "
"Age4      ",123,"WATAGE    ","Age of water from source 4                        "
"Age5      ",123,"WATAGE    ","Age of water from source 5                        "
"WFetch    ",123,"INTPOL    ","Wind Fetch from wind direction                    "
"WDepth    ",123,"INTPOL    ","Depth where wave is created from wind direction   "
"Chezy     ",123,"CALCHZ    ","Chezy coefficient                                 "
"Wave      ",123,"CALWAV    ","Wave characteristics                              "
"CalTau    ",123,"CALTAU    ","Calculation of bottom friction                    "
"pH_simp   ",123,"SIMPH     ","Simple calculation of pH                          "
"SpecCarb  ",123,"SPCARB    ","Speciation of carbonate in solution               "
"EXTINABVLP",123,"EXTINA    ","Extinction of light by algae (Bloom)              "
"EXTINABVL ",123,"EXTINA    ","Extinction of light by algae (Bloom)              "
"ExtPhDVL  ",123,"EXTINA    ","Extinction of visual light by algae (Dynamo)      "
"EXTINABUVP",123,"EXTINA    ","Extinction of UV light by algae (Bloom)           "
"EXTINABUV ",123,"EXTINA    ","Extinction of UV light by algae (Bloom)           "
"ExtPhDUV  ",123,"EXTINA    ","Extinction of UV light by algae (Dynamo)          "
"Extinc_VLG",123,"EXTINC    ","Extinction of visible-light (370-680nm) DLWQ-G    "
"Extinc_UVG",123,"EXTINC    ","Extinction of ultraviolet-light (350-480nm) DLWQ-G"
"CalcRad   ",123,"CLCRAD    ","Radiation at segment upper and lower boundaries   "
"CalcRadDay",123,"CLCRAD    ","Actual radiation at segment boundaries            "
"CalcRadUV ",123,"CLCRAD    ","UV-Radiation at segment upper and lower boundaries"
"Daylength ",123,"DAYL      ","Daylength calculation                             "
"DepAve    ",123,"DEPAVE    ","Average depth for Bloom step                      "
"vtrans    ",  3,"VTRANS    ","vertical mixing distribution over a period        "
"BLOOM_P   ",123,"D40BLO    ","BLOOM II algae module                             "
"BLOOM     ",123,"D40BLO    ","BLOOM II algae module                             "
"Phy_Blo_P ",123,"PHCOMB    ","Computation of phytoplankton output - Bloom       "
"Phy_Blo   ",123,"PHCOMB    ","Computation of phytoplankton output - Bloom       "
"MakOOC    ",123,"MAKPOC    ","Derive POCnoa from IM-fractions                   "
"MakOOCS1  ",123,"MAKPOC    ","Derive POC in S1 from IM-fractions in S1          "
"MakOOCS2  ",123,"MAKPOC    ","Derive POC in S2 from IM-fractions in S2          "
"Phy_dyn   ",123,"PHCOMP    ","Computation of phytoplankton - Dynamo             "
"S1_Comp   ",123,"SEDCOM    ","Composition sediment layer S1                     "
"S2_Comp   ",123,"SEDCOM    ","Composition sediment S2                           "
"Compos    ",123,"WKCOMP    ","Composition                                       "
"DMVolume  ",123,"DMVOL     ","Volume of dry matter in a segment                 "
"EColiMrt  ",123,"BACMRT    ","Mortality EColi bacteria                          "
"FColiMrt  ",123,"BACMRT    ","Mortality FColi bacteria                          "
"TColiMrt  ",123,"BACMRT    ","Mortality TColi bacteria                          "
"EnCocMrt  ",123,"BACMRT    ","Mortality Enterococci bacteria                    "
"SaturCO2  ",123,"SATCO2    ","Saturation concentration carbon dioxide           "
"RearCO2   ",123,"REAR      ","Reaeration of carbon dioxide                      "
"AdsPO4AAP ",123,"ADSPO4    ","Ad(De)Sorption ortho phosphorus to inorg. matter  "
"DenSed_NO3",123,"DENSED    ","Denitrification in sediment                       "
"DenWat_NO3",123,"DENWAT    ","Denitrification in water column                   "
"Nitrif_NH4",123,"NITRIF    ","Nitrification of ammonium                         "
"SaturOXY  ",123,"SATOXY    ","Saturation concentration oxygen                   "
"RearOXY   ",123,"REAR      ","Reaeration of oxygen                              "
"VAROXY    ",123,"VAROXY    ","Variation of primary production within day        "
"BMS1_DetC ",123,"BOTMIN    ","Mineralisation detritus carbon in sediment S1     "
"BMS2_DetC ",123,"BOTMIN    ","Mineralisation detritus carbon in sediment S2     "
"BMS1_DetN ",123,"BOTMIN    ","Mineralisation detritus nitrogen in sediment S1   "
"BMS2_DetN ",123,"BOTMIN    ","Mineralisation detritus nitrogen in sediment S2   "
"BMS1_DetP ",123,"BOTMIN    ","Mineralisation detritus phosphorus in sediment S1 "
"BMS2_DetP ",123,"BOTMIN    ","Mineralisation detritus phosphorus in sediment S2 "
"BMS1_DetSi",123,"BOTMIN    ","Mineralisation detritus silica in sediment S1     "
"BMS2_DetSi",123,"BOTMIN    ","Mineralisation detritus silica in sediment S2     "
"BMS1_OOC  ",123,"BOTMIN    ","Mineralisation other organic C in sediment S1     "
"BMS2_OOC  ",123,"BOTMIN    ","Mineralisation other organic C in sediment S2     "
"BMS1_OON  ",123,"BOTMIN    ","Mineralisation other organic N in sediment S1     "
"BMS2_OON  ",123,"BOTMIN    ","Mineralisation other organic N in sediment S2     "
"BMS1_OOP  ",123,"BOTMIN    ","Mineralisation other organic P in sediment S1     "
"BMS2_OOP  ",123,"BOTMIN    ","Mineralisation other organic P in sediment S2     "
"BMS1_OOSi ",123,"BOTMIN    ","Mineralisation other organic Si in sediment S1    "
"BMS2_OOSi ",123,"BOTMIN    ","Mineralisation other organic Si in sediment S2    "
"Deso_AAPS1",123,"BOTMIN    ","Desorption of adsorbed phosphates in sediment S1  "
"Deso_AAPS2",123,"BOTMIN    ","Desorption of adsorbed phosphates in sediment S2  "
"BODCOD    ",123,"BODCOD    ","Mineralisation BOD and COD                        "
"DBOD_TEWOR",123,"DECBOD    ","Oxydation of BOD                                  "
"DecFast   ",123,"DECDET    ","Mineralization fast decomp. detritus POC1         "
"DecMedium ",123,"DECDET    ","Mineralization medium decomp. detritus POC2       "
"DecSlow   ",123,"DECDET    ","Mineralization slow decomp. detritus POC3         "
"DecRefr   ",123,"DECDET    ","Mineralization part. refractory detritus POC4     "
"DecDOC    ",123,"DECDET    ","Mineralization DOC (diss. refr. detritus)         "
"DecPOC5   ",123,"DECPC5    ","Mineralisation POC5                               "
"Vivianit  ",123,"VIVIAN    ","Dissolution/precipitation of P in vivianite       "
"DisSi     ",123,"DISSI     ","Dissolution of Si in opal (SWITCH defaults)       "
"SedOXYDem ",123,"SEDOX     ","Sediment oxygen demand                            "
"TF_Green  ",123,"TFALG     ","Temperature functions for green algae             "
"TF_Diat   ",123,"TFALG     ","Temperature functions for diatoms                 "
"DL_Green  ",123,"DLALG     ","Daylength function for green algae                "
"DL_Diat   ",123,"DLALG     ","Daylength function for diatoms                    "
"DL_DiatS1 ",123,"DLALG     ","Daylength function for diatoms                    "
"NLGreen   ",123,"NLALG     ","Nutrient limiation function for green algae       "
"NLDiat    ",123,"NLALG     ","Nutrient limiation function for diatoms           "
"Rad_Green ",123,"RADALG    ","Light efficiency function green algae             "
"Rad_Diat  ",123,"RADALG    ","Light efficiency function diatoms                 "
"Rad_DiatS1",123,"RDBALG    ","Light efficiency function diatoms                 "
"GroMrt_Gre",123,"PRIPRO    ","Nett primary production and mortality green algae "
"GroMrt_Dia",123,"PRIPRO    ","Nett primary production and mortality diatoms     "
"GroMrt_DS1",123,"SDPPRO    ","Nett primary production and mortality diatoms     "
"PPrLim    ",123,"PPRLIM    ","Limitation (numerical) on primary production      "
"NutUpt_Alg",123,"NUTUPT    ","Uptake of nutrients by growth of algae            "
"NutRel_Alg",123,"NUTREL    ","Release (nutrients/detritus) by of mortality algae"
"NRAlg_S1  ",123,"NRALGS    ","Nutrient release of algae in S1                   "
"OXYMin    ",123,"OXYMIN    ","Potential mimimum dissolved oxygen concentration  "
"CONSELAC  ",123,"CSELAC    ","Consumption of electron acceptors                 "
"EBULCH4   ",123,"EBUCH4    ","Ebullition of methane                             "
"SaturCH4  ",123,"SATCH4    ","Saturation concentration methane                  "
"VolatCH4  ",123,"REAR      ","Volatilisation of methane                         "
"SPECSUD   ",123,"SULFID    ","Speciation of dissolved sulphide                  "
"SPECSUDS1 ",123,"SULFID    ","Speciation of dissolved sulphide in S1            "
"SPECSUDS2 ",123,"SULFID    ","Speciation of dissolved sulphide in S2            "
"OXIDSUD   ",123,"SULFOX    ","Oxidation of dissolved sulphide                   "
"PRECSUL   ",123,"SULFPR    ","Precipitation and dissolution of sulphide         "
"OXIDCH4   ",123,"METHOX    ","Oxidation of methane                              "
"SPECIRON  ",123,"SPECFE    ","Speciation of dissolved iron                      "
"IRONOX    ",123,"IRONOX    ","Oxidation of dissolved iron                       "
"SULPHOX   ",123,"SULPHO    ","Oxidation of iron sulphides                       "
"IRONRED   ",123,"IRONRE    ","Reduction of iron by sulphides                    "
"PRIRON    ",123,"PRIRON    ","Precipitation, dissolution and conversion of iron "
"CalVS_IM1 ",123,"CALSED    ","Sedimentation velocity IM1 = f (Temp SS Sal)      "
"CalVS_IM2 ",123,"CALSED    ","Sedimentation velocity IM2 = f (Temp SS Sal)      "
"CalVS_IM3 ",123,"CALSED    ","Sedimentation velocity IM3 = f (Temp SS Sal)      "
"CalVS_POC1",123,"CALSED    ","Sedimentation velocity POC1 = f (Temp SS Sal)     "
"CalVS_POC2",123,"CALSED    ","Sedimentation velocity POC2 = f (Temp SS Sal)     "
"CalVS_POC3",123,"CALSED    ","Sedimentation velocity POC3 = f (Temp SS Sal)     "
"CalVS_POC4",123,"CALSED    ","Sedimentation velocity POC4 = f (Temp SS Sal)     "
"CalVS_Diat",123,"CALSED    ","Sedimentation velocity Diat = f (Temp SS Sal)     "
"CalVS_Gree",123,"CALSED    ","Sedimentation velocity Gree = f (Temp SS Sal)     "
"CalVSALG  ",123,"CALSED    ","Sedimentation velocity algae = f (Temp SS Sal)    "
"CalVSALG01",123,"CALSED    ","Sedimentation velocity ALG01 = f (Temp SS Sal)    "
"CalVSALG02",123,"CALSED    ","Sedimentation velocity ALG02 = f (Temp SS Sal)    "
"CalVSALG03",123,"CALSED    ","Sedimentation velocity ALG03 = f (Temp SS Sal)    "
"CalVSALG04",123,"CALSED    ","Sedimentation velocity ALG04 = f (Temp SS Sal)    "
"CalVSALG05",123,"CALSED    ","Sedimentation velocity ALG05 = f (Temp SS Sal)    "
"CalVSALG06",123,"CALSED    ","Sedimentation velocity ALG06 = f (Temp SS Sal)    "
"CalVSALG07",123,"CALSED    ","Sedimentation velocity ALG07 = f (Temp SS Sal)    "
"CalVSALG08",123,"CALSED    ","Sedimentation velocity ALG08 = f (Temp SS Sal)    "
"CalVSALG09",123,"CALSED    ","Sedimentation velocity ALG09 = f (Temp SS Sal)    "
"CalVSALG10",123,"CALSED    ","Sedimentation velocity ALG10 = f (Temp SS Sal)    "
"CalVSALG11",123,"CALSED    ","Sedimentation velocity ALG11 = f (Temp SS Sal)    "
"CalVSALG12",123,"CALSED    ","Sedimentation velocity ALG12 = f (Temp SS Sal)    "
"CalVSALG13",123,"CALSED    ","Sedimentation velocity ALG13 = f (Temp SS Sal)    "
"CalVSALG14",123,"CALSED    ","Sedimentation velocity ALG14 = f (Temp SS Sal)    "
"CalVSALG15",123,"CALSED    ","Sedimentation velocity ALG15 = f (Temp SS Sal)    "
"CalVSALG16",123,"CALSED    ","Sedimentation velocity ALG16 = f (Temp SS Sal)    "
"CalVSALG17",123,"CALSED    ","Sedimentation velocity ALG17 = f (Temp SS Sal)    "
"CalVSALG18",123,"CALSED    ","Sedimentation velocity ALG18 = f (Temp SS Sal)    "
"CalVSALG19",123,"CALSED    ","Sedimentation velocity ALG19 = f (Temp SS Sal)    "
"CalVSALG20",123,"CALSED    ","Sedimentation velocity ALG20 = f (Temp SS Sal)    "
"CalVSALG21",123,"CALSED    ","Sedimentation velocity ALG21 = f (Temp SS Sal)    "
"CalVSALG22",123,"CALSED    ","Sedimentation velocity ALG22 = f (Temp SS Sal)    "
"CalVSALG23",123,"CALSED    ","Sedimentation velocity ALG23 = f (Temp SS Sal)    "
"CalVSALG24",123,"CALSED    ","Sedimentation velocity ALG24 = f (Temp SS Sal)    "
"CalVSALG25",123,"CALSED    ","Sedimentation velocity ALG25 = f (Temp SS Sal)    "
"CalVSALG26",123,"CALSED    ","Sedimentation velocity ALG26 = f (Temp SS Sal)    "
"CalVSALG27",123,"CALSED    ","Sedimentation velocity ALG27 = f (Temp SS Sal)    "
"CalVSALG28",123,"CALSED    ","Sedimentation velocity ALG28 = f (Temp SS Sal)    "
"CalVSALG29",123,"CALSED    ","Sedimentation velocity ALG29 = f (Temp SS Sal)    "
"CalVSALG30",123,"CALSED    ","Sedimentation velocity ALG30 = f (Temp SS Sal)    "
"Sed_IM1   ",123,"SEDCAR    ","Sedimentation IM1                                 "
"Sed_IM2   ",123,"SEDCAR    ","Sedimentation IM2                                 "
"Sed_IM3   ",123,"SEDCAR    ","Sedimentation IM3                                 "
"SedDiat   ",123,"SEDCAR    ","Sedimentation diatoms                             "
"Sed_Gre   ",123,"SEDCAR    ","Sedimentation green algae                         "
"SEDALG    ",123,"SEDCAR    ","Sedimentation of algae species                    "
"SEDALG01  ",123,"SEDCAR    ","Sedimentation of algae species 1                  "
"SEDALG02  ",123,"SEDCAR    ","Sedimentation of algae species 2                  "
"SEDALG03  ",123,"SEDCAR    ","Sedimentation of algae species 3                  "
"SEDALG04  ",123,"SEDCAR    ","Sedimentation of algae species 4                  "
"SEDALG05  ",123,"SEDCAR    ","Sedimentation of algae species 5                  "
"SEDALG06  ",123,"SEDCAR    ","Sedimentation of algae species 6                  "
"SEDALG07  ",123,"SEDCAR    ","Sedimentation of algae species 7                  "
"SEDALG08  ",123,"SEDCAR    ","Sedimentation of algae species 8                  "
"SEDALG09  ",123,"SEDCAR    ","Sedimentation of algae species 9                  "
"SEDALG10  ",123,"SEDCAR    ","Sedimentation of algae species 10                 "
"SEDALG11  ",123,"SEDCAR    ","Sedimentation of algae species 11                 "
"SEDALG12  ",123,"SEDCAR    ","Sedimentation of algae species 12                 "
"SEDALG13  ",123,"SEDCAR    ","Sedimentation of algae species 13                 "
"SEDALG14  ",123,"SEDCAR    ","Sedimentation of algae species 14                 "
"SEDALG15  ",123,"SEDCAR    ","Sedimentation of algae species 15                 "
"SEDALG16  ",123,"SEDCAR    ","Sedimentation of algae species 16                 "
"SEDALG17  ",123,"SEDCAR    ","Sedimentation of algae species 17                 "
"SEDALG18  ",123,"SEDCAR    ","Sedimentation of algae species 18                 "
"SEDALG19  ",123,"SEDCAR    ","Sedimentation of algae species 19                 "
"SEDALG20  ",123,"SEDCAR    ","Sedimentation of algae species 20                 "
"SEDALG21  ",123,"SEDCAR    ","Sedimentation of algae species 21                 "
"SEDALG22  ",123,"SEDCAR    ","Sedimentation of algae species 22                 "
"SEDALG23  ",123,"SEDCAR    ","Sedimentation of algae species 23                 "
"SEDALG24  ",123,"SEDCAR    ","Sedimentation of algae species 24                 "
"SEDALG25  ",123,"SEDCAR    ","Sedimentation of algae species 25                 "
"SEDALG26  ",123,"SEDCAR    ","Sedimentation of algae species 26                 "
"SEDALG27  ",123,"SEDCAR    ","Sedimentation of algae species 27                 "
"SEDALG28  ",123,"SEDCAR    ","Sedimentation of algae species 28                 "
"SEDALG29  ",123,"SEDCAR    ","Sedimentation of algae species 29                 "
"SEDALG30  ",123,"SEDCAR    ","Sedimentation of algae species 30                 "
"S_CBOD51  ",123,"SEDCAR    ","Sedimentation CBOD5 (first pool)                  "
"S_CBOD52  ",123,"SEDCAR    ","Sedimentation CBOD5_2 (second pool)               "
"S_CBOD53  ",123,"SEDCAR    ","Sedimentation CBOD5_3 (third pool)                "
"S_CBODu1  ",123,"SEDCAR    ","Sedimentation CBODu (first pool)                  "
"S_CBODu2  ",123,"SEDCAR    ","Sedimentation CBODu_2 (second pool)               "
"S_CODCr   ",123,"SEDCAR    ","Sedimentation COD Cr method                       "
"S_CODMn   ",123,"SEDCAR    ","Sedimentation COD Mn method                       "
"S_NBOD5   ",123,"SEDCAR    ","Sedimentation of NBOD5                            "
"S_NBODu   ",123,"SEDCAR    ","Sedimentation of NBODu                            "
"SED_SOD   ",123,"SEDSOD    ","Sedimentation of oxygen demand                    "
"SedPhBlo_P",123,"SSEDPH    ","Sum sedimentation of algae - Bloom                "
"SedPhBlo  ",123,"SSEDPH    ","Sum sedimentation of algae - Bloom                "
"SedPhDyn  ",123,"SSEDPH    ","Sum sedimentation of algae - Dynamo               "
"Sed_MPB1  ",123,"SEDCAR    ","Sedimentation MPB1peli   algae 3d                 "
"Sed_MPB2  ",123,"SEDCAR    ","Sedimentation MPB2psam   algae 3d                 "
"Sed_Opal  ",123,"SEDCAR    ","Sedimentation Opal 3d                             "
"Sed_POC1  ",123,"SEDCAR    ","Sedimentation POC1 3d                             "
"Sed_POC2  ",123,"SEDCAR    ","Sedimentation POC2 3d                             "
"Sed_POC3  ",123,"SEDCAR    ","Sedimentation POC3 3d                             "
"Sed_POC4  ",123,"SEDCAR    ","Sedimentation POC4 3d                             "
"Sed_VivP  ",123,"SEDCAR    ","Sedimentation vivianite 3d                        "
"Sed_ApatP ",123,"SEDCAR    ","Sedimentation Apatite-P                           "
"Sed_Fe3pa ",123,"SEDCAR    ","Sedimentation Fe3pa                               "
"Sed_Fe3pc ",123,"SEDCAR    ","Sedimentation Fe3pc                               "
"Sed_FeS   ",123,"SEDCAR    ","Sedimentation FeS                                 "
"Sed_FeS2  ",123,"SEDCAR    ","Sedimentation FeS2                                "
"Sed_FeCO3 ",123,"SEDCAR    ","Sedimentation FeCO3                               "
"SedNPOC1  ",123,"SEDNUT    ","Sedim. nutrients in POC1                          "
"SedNPOC2  ",123,"SEDNUT    ","Sedim. nutrients in POC2                          "
"SedNPOC3  ",123,"SEDNUT    ","Sedim. nutrients in POC3                          "
"SedNPOC4  ",123,"SEDNUT    ","Sedim. nutrients in POC4                          "
"Sum_Sedim ",123,"SOMSED    ","Total of all sedimenting substances               "
"Sed_AAP   ",123,"SEDAAP    ","Sedimentation AAP (adsorbed PO4)                  "
"Sed_CAAP  ",123,"SEDCAR    ","Sedimentation adsorbed P as component             "
"Res_DM    ",123,"RESDM     ","Resuspension total bottom material (dry mass)     "
"Bur_DM    ",123,"BURIAL    ","Burial total bottom mass (dry matter)             "
"Dig_DM    ",123,"DIGGIN    ","Digging dry matter to sediment S1 and S2          "
"S12TraDetC",123,"S12TRA    ","Transport in S1-S2: detritus carbon               "
"S12TraDetN",123,"S12TRA    ","Transport in S1-S2: detritus nitrogen             "
"S12TraDetP",123,"S12TRA    ","Transport in S1-S2: detritus phosphorus           "
"S12TraDetS",123,"S12TRA    ","Transport in S1-S2: detritus silica               "
"S12TraOOC ",123,"S12TRA    ","Transport in S1-S2: OOC                           "
"S12TraOON ",123,"S12TRA    ","Transport in S1-S2: OON                           "
"S12TraOOP ",123,"S12TRA    ","Transport in S1-S2: OOP                           "
"S12TraOOSi",123,"S12TRA    ","Transport in S1-S2: OOSi                          "
"S12TraDiat",123,"S12TRA    ","Transport in S1-S2: Diatoms                       "
"ResN_DiaS1",123,"RESANT    ","Resuspension nutrients in detritus                "
"ResN_DiaS2",123,"RESANT    ","Resuspension nutrients in detritus                "
"S12TraMPB1",123,"S12TRA    ","Transport in S1-S2: MPB1                          "
"S12TraMPB2",123,"S12TRA    ","Transport in S1-S2: MPB2                          "
"S12TraIM1 ",123,"S12TRA    ","Transport in S1-S2: IM1                           "
"S12TraIM2 ",123,"S12TRA    ","Transport in S1-S2: IM2                           "
"S12TraIM3 ",123,"S12TRA    ","Transport in S1-S2: IM3                           "
"S12TraAAP ",123,"S12TRA    ","Transport in S1-S2: AAP                           "
"AdvTra    ",  3,"ADVTRA    ","Advective transport of solids in sediment         "
"DSPTra    ",  3,"DSPTRA    ","Dispersion/diffusion in the sediment              "
"RFPART_Cd ",123,"RFPART    ","Reprofunctions for cadmium partition coefficient  "
"RFPART_Cu ",123,"RFPART    ","Reprofunctions for copper partition coefficient   "
"RFPART_Pb ",123,"RFPART    ","Reprofunctions for lead partition coefficient     "
"RFPART_Zn ",123,"RFPART    ","Reprofunctions for zinc partition coefficient     "
"RFPART_Hg ",123,"RFPART    ","Reprofunctions for mercury partition coefficient  "
"RFPART_Ni ",123,"RFPART    ","Reprofunctions for nickel partition coefficient   "
"RFPART_Cr ",123,"RFPART    ","Reprofunctions for chromium partition coefficient "
"RFPART_As ",123,"RFPART    ","Reprofunctions for arsenic partition coefficient  "
"PartWK_Cd ",123,"PARTMP    ","Partitioning Cd in water column                   "
"PartWK_Cr ",123,"PARTMP    ","Partitioning Cr in water column                   "
"PartWK_Cu ",123,"PARTMP    ","Partitioning Cu in water column                   "
"PartWK_Hg ",123,"PARTMP    ","Partitioning Hg in water column                   "
"PartWK_Ni ",123,"PARTMP    ","Partitioning Ni in water column                   "
"PartWK_Pb ",123,"PARTMP    ","Partitioning Pb in water column                   "
"PartWK_As ",123,"PARTMP    ","Partitioning Arsenic in water column              "
"PartWK_Va ",123,"PARTMP    ","Partitioning Va in water column                   "
"PartWK_Zn ",123,"PARTMP    ","Partitioning Zn in water column                   "
"PartS1_Cd ",123,"PARTMP    ","Partitioning Cd in S1                             "
"PartS1_Cr ",123,"PARTMP    ","Partitioning Cr in S1                             "
"PartS1_Cu ",123,"PARTMP    ","Partitioning Cu in S1                             "
"PartS1_Hg ",123,"PARTMP    ","Partitioning Hg in S1                             "
"PartS1_Ni ",123,"PARTMP    ","Partitioning Ni in S1                             "
"PartS1_Pb ",123,"PARTMP    ","Partitioning Pb in S1                             "
"PartS1_As ",123,"PARTMP    ","Partitioning As in S1                             "
"PartS1_Va ",123,"PARTMP    ","Partitioning Va in S1                             "
"PartS1_Zn ",123,"PARTMP    ","Partitioning Zn in S1                             "
"PartS2_Cd ",123,"PARTMP    ","Partitioning Cd in S2                             "
"PartS2_Cr ",123,"PARTMP    ","Partitioning Cr in S2                             "
"PartS2_Cu ",123,"PARTMP    ","Partitioning Cu in S2                             "
"PartS2_Hg ",123,"PARTMP    ","Partitioning Hg in S2                             "
"PartS2_Ni ",123,"PARTMP    ","Partitioning Ni in S2                             "
"PartS2_Pb ",123,"PARTMP    ","Partitioning Pb in S2                             "
"PartS2_As ",123,"PARTMP    ","Partitioning As in S2                             "
"PartS2_Va ",123,"PARTMP    ","Partitioning Va in S2                             "
"PartS2_Zn ",123,"PARTMP    ","Partitioning Zn in S2                             "
"PartS1_153",123,"PARTMP    ","Partitioning 153 in S1                            "
"PartS1_Atr",123,"PARTMP    ","Partitioning Atr in S1                            "
"PartS1_BaP",123,"PARTMP    ","Partitioning BaP in S1                            "
"PartS1_Diu",123,"PARTMP    ","Partitioning Diu in S1                            "
"PartS1_Flu",123,"PARTMP    ","Partitioning Flu in S1                            "
"PartS1_HCB",123,"PARTMP    ","Partitioning HCB in S1                            "
"PartS1_HCH",123,"PARTMP    ","Partitioning HCH in S1                            "
"PartS1_Mef",123,"PARTMP    ","Partitioning Mef in S1                            "
"PartS2_153",123,"PARTMP    ","Partitioning 153 in S2                            "
"PartS2_Atr",123,"PARTMP    ","Partitioning Atr in S2                            "
"PartS2_BaP",123,"PARTMP    ","Partitioning BaP in S2                            "
"PartS2_Diu",123,"PARTMP    ","Partitioning Diu in S2                            "
"PartS2_Flu",123,"PARTMP    ","Partitioning Flu in S2                            "
"PartS2_HCB",123,"PARTMP    ","Partitioning HCB in S2                            "
"PartS2_HCH",123,"PARTMP    ","Partitioning HCH in S2                            "
"PartS2_Mef",123,"PARTMP    ","Partitioning Mef in S2                            "
