stocfl,stocsu,stocsc
"dDumEmersi","Continuity",   0.00000
"dTempHtfl ","NatTemp   ",   1.00000
"dModTemp  ","ModTemp   ",   1.00000
"dDumVarSal","FrCon     ",   0.00000
"dDumVarSal","FrFlow    ",   0.00000
"dDumVarSal","SalBnd    ",   0.00000
"dDumRestim","Continuity",   0.00000
"dDumHorDis","OXY       ",   0.00000
"dDumHorDiV","Continuity",   0.00000
"dDumHorDiV","OXY       ",   0.00000
"dDumHorDiV","Salinity  ",   0.00000
"dDumHorDiV","FrCon     ",   0.00000
"dDumHorDiV","FrFlow    ",   0.00000
"dDumHorDiV","SalBnd    ",   0.00000
"dDecTR1   ","dTR1      ",  -1.00000
"dDecTR2   ","dTR2      ",  -1.00000
"dDecTR3   ","dTR3      ",  -1.00000
"dDecTR4   ","dTR4      ",  -1.00000
"dDecTR5   ","dTR5      ",  -1.00000
"dDumphsimp","ALKA      ",   0.00000
"dDumphsimp","TIC       ",   0.00000
"dDumspcarb","TIC       ",   0.00000
"dCaut     ","OXY       ",  -2.67000
"dCaut     ","TIC       ",   1.00000
"dCaut     ","H2O       ",   1.50000
"dCaut     ","SUD       ",   0.01750
"dNaut     ","NH4       ",   1.00000
"dNaut     ","H+        ",  -0.07100
"dNaut     ","ALKA      ",   4.35700
"dPaut     ","PO4       ",   1.00000
"dPaut     ","H+        ",   0.03200
"dPaut     ","ALKA      ",  -1.96800
"dSIaut    ","SI        ",   1.00000
"dDetCMort ","POC1      ",   1.00000
"dDetCMort ","POS1      ",   0.01750
"dDetNMort ","PON1      ",   1.00000
"dDetPMort ","POP1      ",   1.00000
"dDetSiMort","Opal      ",   1.00000
"dOOCMort  ","POC2      ",   1.00000
"dOOCMort  ","POS2      ",   0.01750
"dOONMort  ","PON2      ",   1.00000
"dOOPMort  ","POP2      ",   1.00000
"dOOSiMort ","Opal      ",   1.00000
"dCUpt     ","TIC       ",  -1.00000
"dCUpt     ","H2O       ",  -1.50000
"dCUpt     ","SO4       ",  -0.01750
"dNH4Upt   ","NH4       ",  -1.00000
"dNH4Upt   ","H+        ",   0.07100
"dNH4Upt   ","ALKA      ",  -4.35700
"dNO3Upt   ","NO3       ",  -1.00000
"dNO3Upt   ","OXY       ",   4.57100
"dNO3Upt   ","H+        ",  -0.07100
"dNO3Upt   ","ALKA      ",   4.35700
"dNO3Upt   ","H2O       ",  -1.28600
"dPO4Upt   ","PO4       ",  -1.00000
"dPO4Upt   ","H+        ",  -0.03200
"dPO4Upt   ","ALKA      ",   1.96800
"dSIUpt    ","SI        ",  -1.00000
"dDetNUpt  ","PON1      ",  -1.00000
"dDetPUpt  ","POP1      ",  -1.00000
"dDetCUpt  ","POC1      ",  -1.00000
"dPrProdOxy","OXY       ",   2.67000
"dProdAlg  ","APHANFIX  ",   1.00000
"dProdAlg  ","APHANIZO  ",   1.00000
"dProdAlg  ","BLUEGRN   ",   1.00000
"dProdAlg  ","DINOFLAG  ",   1.00000
"dProdAlg  ","DINOMIX   ",   1.00000
"dProdAlg  ","FDIATOMS  ",   1.00000
"dProdAlg  ","FFLAGELA  ",   1.00000
"dProdAlg  ","GREENS    ",   1.00000
"dProdAlg  ","MDIATOMS  ",   1.00000
"dProdAlg  ","MFLAGELA  ",   1.00000
"dProdAlg  ","MICROCYS  ",   1.00000
"dProdAlg  ","OSCILAT   ",   1.00000
"dProdAlg  ","PHAEOCYS  ",   1.00000
"dProdAlg  ","UlvaF     ",   1.00000
"dProdAlg  ","UlvaS     ",   1.00000
"dProdAlg  ","NODULA    ",   1.00000
"dProdAlg  ","ANABAENA  ",   1.00000
"dProdAlg01","BLOOMALG01",   1.00000
"dProdAlg02","BLOOMALG02",   1.00000
"dProdAlg03","BLOOMALG03",   1.00000
"dProdAlg04","BLOOMALG04",   1.00000
"dProdAlg05","BLOOMALG05",   1.00000
"dProdAlg06","BLOOMALG06",   1.00000
"dProdAlg07","BLOOMALG07",   1.00000
"dProdAlg08","BLOOMALG08",   1.00000
"dProdAlg09","BLOOMALG09",   1.00000
"dProdAlg10","BLOOMALG10",   1.00000
"dProdAlg11","BLOOMALG11",   1.00000
"dProdAlg12","BLOOMALG12",   1.00000
"dProdAlg13","BLOOMALG13",   1.00000
"dProdAlg14","BLOOMALG14",   1.00000
"dProdAlg15","BLOOMALG15",   1.00000
"dProdAlg16","BLOOMALG16",   1.00000
"dProdAlg17","BLOOMALG17",   1.00000
"dProdAlg18","BLOOMALG18",   1.00000
"dProdAlg19","BLOOMALG19",   1.00000
"dProdAlg20","BLOOMALG20",   1.00000
"dProdAlg21","BLOOMALG21",   1.00000
"dProdAlg22","BLOOMALG22",   1.00000
"dProdAlg23","BLOOMALG23",   1.00000
"dProdAlg24","BLOOMALG24",   1.00000
"dProdAlg25","BLOOMALG25",   1.00000
"dProdAlg26","BLOOMALG26",   1.00000
"dProdAlg27","BLOOMALG27",   1.00000
"dProdAlg28","BLOOMALG28",   1.00000
"dProdAlg29","BLOOMALG29",   1.00000
"dProdAlg30","BLOOMALG30",   1.00000
"dMortAlg01","BLOOMALG01",  -1.00000
"dMortAlg02","BLOOMALG02",  -1.00000
"dMortAlg03","BLOOMALG03",  -1.00000
"dMortAlg04","BLOOMALG04",  -1.00000
"dMortAlg05","BLOOMALG05",  -1.00000
"dMortAlg06","BLOOMALG06",  -1.00000
"dMortAlg07","BLOOMALG07",  -1.00000
"dMortAlg08","BLOOMALG08",  -1.00000
"dMortAlg09","BLOOMALG09",  -1.00000
"dMortAlg10","BLOOMALG10",  -1.00000
"dMortAlg11","BLOOMALG11",  -1.00000
"dMortAlg12","BLOOMALG12",  -1.00000
"dMortAlg13","BLOOMALG13",  -1.00000
"dMortAlg14","BLOOMALG14",  -1.00000
"dMortAlg15","BLOOMALG15",  -1.00000
"dMortAlg16","BLOOMALG16",  -1.00000
"dMortAlg17","BLOOMALG17",  -1.00000
"dMortAlg18","BLOOMALG18",  -1.00000
"dMortAlg19","BLOOMALG19",  -1.00000
"dMortAlg20","BLOOMALG20",  -1.00000
"dMortAlg21","BLOOMALG21",  -1.00000
"dMortAlg22","BLOOMALG22",  -1.00000
"dMortAlg23","BLOOMALG23",  -1.00000
"dMortAlg24","BLOOMALG24",  -1.00000
"dMortAlg25","BLOOMALG25",  -1.00000
"dMortAlg26","BLOOMALG26",  -1.00000
"dMortAlg27","BLOOMALG27",  -1.00000
"dMortAlg28","BLOOMALG28",  -1.00000
"dMortAlg29","BLOOMALG29",  -1.00000
"dMortAlg30","BLOOMALG30",  -1.00000
"dDumphyblo","APHANFIX  ",   1.00000
"dDumphyblo","APHANIZO  ",   1.00000
"dDumphyblo","BLUEGRN   ",   1.00000
"dDumphyblo","DINOFLAG  ",   1.00000
"dDumphyblo","DINOMIX   ",   1.00000
"dDumphyblo","FDIATOMS  ",   1.00000
"dDumphyblo","FFLAGELA  ",   1.00000
"dDumphyblo","GREENS    ",   1.00000
"dDumphyblo","MDIATOMS  ",   1.00000
"dDumphyblo","MFLAGELA  ",   1.00000
"dDumphyblo","MICROCYS  ",   1.00000
"dDumphyblo","OSCILAT   ",   1.00000
"dDumphyblo","PHAEOCYS  ",   1.00000
"dDumphyblo","UlvaF     ",   1.00000
"dDumphyblo","UlvaS     ",   1.00000
"dDumphyblo","NODULA    ",   1.00000
"dDumphyblo","ANABAENA  ",   1.00000
"dDumCompos","IM1       ",   0.00000
"dDumCompos","POC1      ",   0.00000
"dDumCompos","PO4       ",   0.00000
"dDumCompos","NH4       ",   0.00000
"dDumCompos","NO3       ",   0.00000
"dDumCompos","Si        ",   0.00000
"dDumCompos","SO4       ",   0.00000
"dMrtEColi ","EColi     ",  -1.00000
"dMrtFColi ","FColi     ",  -1.00000
"dMrtTColi ","TColi     ",  -1.00000
"dMrtEnCoc ","EnCoc     ",  -1.00000
"dREARCO2  ","TIC       ",   0.27300
"dAdsPO4AAP","PO4       ",  -1.00000
"dAdsPO4AAP","AAP       ",   1.00000
"dDenitSed ","NO3       ",  -1.00000
"dDenitWat ","NO3       ",  -1.00000
"dDenitWat ","H+        ",  -0.07100
"dDenitWat ","H2O       ",   0.64300
"dDenitWat ","OXY       ",   2.85700
"dDenitWat ","ALKA      ",   4.35700
"dNITRIF   ","NH4       ",  -1.00000
"dNITRIF   ","NO3       ",   1.00000
"dNITRIF   ","OXY       ",  -4.57100
"dNITRIF   ","H+        ",   0.14300
"dNITRIF   ","H2O       ",   1.28600
"dNITRIF   ","ALKA      ",  -8.71400
"dREAROXY  ","OXY       ",   1.00000
"dCUptVar  ","OXY       ",   2.67000
"dMinDetCS1","DetCS1    ",  -1.00000
"dMinDetCS1","OXY       ",  -2.67000
"dMinDetCS1","TIC       ",   1.00000
"dMinDetCS1","H2O       ",   1.50000
"dSWMinDCS1","DetCS1    ",  -1.00000
"dSWMinDCS1","TIC       ",   1.00000
"dSWMinDCS1","H2O       ",   1.50000
"dMinDetCS2","DetCS2    ",  -1.00000
"dMinDetCS2","OXY       ",  -2.67000
"dMinDetCS2","TIC       ",   1.00000
"dMinDetCS2","H2O       ",   1.50000
"dSWMinDCS2","DetCS2    ",  -1.00000
"dSWMinDCS2","TIC       ",   1.00000
"dSWMinDCS2","H2O       ",   1.50000
"dMinDetNS1","DetNS1    ",  -1.00000
"dMinDetNS1","NH4       ",   1.00000
"dMinDetNS1","H+        ",  -0.07100
"dMinDetNS1","ALKA      ",   4.35700
"dSWMinDNS1","DetNS1    ",  -1.00000
"dSWMinDNS1","H+        ",  -0.07100
"dSWMinDNS1","ALKA      ",   4.35700
"dMinDetNS2","DetNS2    ",  -1.00000
"dMinDetNS2","NH4       ",   1.00000
"dMinDetNS2","H+        ",  -0.07100
"dMinDetNS2","ALKA      ",   4.35700
"dSWMinDNS2","DetNS2    ",  -1.00000
"dSWMinDNS2","H+        ",  -0.07100
"dSWMinDNS2","ALKA      ",   4.35700
"dMinDetPS1","DetPS1    ",  -1.00000
"dMinDetPS1","PO4       ",   1.00000
"dMinDetPS1","H+        ",   0.03200
"dMinDetPS1","ALKA      ",  -1.96800
"dSWMinDPS1","DetPS1    ",  -1.00000
"dSWMinDPS1","H+        ",   0.03200
"dSWMinDPS1","ALKA      ",  -1.96800
"dMinDetPS2","DetPS2    ",  -1.00000
"dMinDetPS2","PO4       ",   1.00000
"dMinDetPS2","H+        ",   0.03200
"dMinDetPS2","ALKA      ",  -1.96800
"dSWMinDPS2","DetPS2    ",  -1.00000
"dSWMinDPS2","H+        ",   0.03200
"dSWMinDPS2","ALKA      ",  -1.96800
"dMinDetSiS","DetSiS1   ",  -1.00000
"dMinDetSiS","Si        ",   1.00000
"dSWMinDSS1","DetSiS1   ",  -1.00000
"dMinDetSS2","DetSiS2   ",  -1.00000
"dMinDetSS2","Si        ",   1.00000
"dSWMinDSS2","DetSiS2   ",  -1.00000
"dMinOOCS1 ","OOCS1     ",  -1.00000
"dMinOOCS1 ","OXY       ",  -2.67000
"dMinOOCS1 ","TIC       ",   1.00000
"dMinOOCS1 ","H2O       ",   1.50000
"dSWMnOOCS1","OOCS1     ",  -1.00000
"dSWMnOOCS1","TIC       ",   1.00000
"dSWMnOOCS1","H2O       ",   1.50000
"dMinOOCS2 ","OOCS2     ",  -1.00000
"dMinOOCS2 ","OXY       ",  -2.67000
"dMinOOCS2 ","TIC       ",   1.00000
"dMinOOCS2 ","H2O       ",   1.50000
"dSWMnOOCS2","OOCS2     ",  -1.00000
"dSWMnOOCS2","TIC       ",   1.00000
"dSWMnOOCS2","H2O       ",   1.50000
"dMinOONS1 ","OONS1     ",  -1.00000
"dMinOONS1 ","NH4       ",   1.00000
"dMinOONS1 ","H+        ",  -0.07100
"dMinOONS1 ","ALKA      ",   4.35700
"dSWMnOONS1","OONS1     ",  -1.00000
"dSWMnOONS1","H+        ",  -0.07100
"dSWMnOONS1","ALKA      ",   4.35700
"dMinOONS2 ","OONS2     ",  -1.00000
"dMinOONS2 ","NH4       ",   1.00000
"dMinOONS2 ","H+        ",  -0.07100
"dMinOONS2 ","ALKA      ",   4.35700
"dSWMnOONS2","OONS2     ",  -1.00000
"dSWMnOONS2","H+        ",  -0.07100
"dSWMnOONS2","ALKA      ",   4.35700
"dMinOOPS1 ","OOPS1     ",  -1.00000
"dMinOOPS1 ","PO4       ",   1.00000
"dMinOOPS1 ","H+        ",   0.03200
"dMinOOPS1 ","ALKA      ",  -1.96800
"dSWMnOOPS1","OOPS1     ",  -1.00000
"dSWMnOOPS1","H+        ",   0.03200
"dSWMnOOPS1","ALKA      ",  -1.96800
"dMinOOPS2 ","OOPS2     ",  -1.00000
"dMinOOPS2 ","PO4       ",   1.00000
"dMinOOPS2 ","H+        ",   0.03200
"dMinOOPS2 ","ALKA      ",  -1.96800
"dSWMnOOPS2","OOPS2     ",  -1.00000
"dSWMnOOPS2","H+        ",   0.03200
"dSWMnOOPS2","ALKA      ",  -1.96800
"dMinOOSiS1","OOSiS1    ",  -1.00000
"dMinOOSiS1","Si        ",   1.00000
"dSWMnOOSS1","OOSiS1    ",  -1.00000
"dMinOOSiS2","OOSiS2    ",  -1.00000
"dMinOOSiS2","Si        ",   1.00000
"dSWMnOOSS2","OOSiS2    ",  -1.00000
"dDesoAAPS1","AAPS1     ",  -1.00000
"dDesoAAPS1","PO4       ",   1.00000
"dSWDeAAPS1","AAPS1     ",  -1.00000
"dSWDeAAPS1","PO4       ",   1.00000
"dDesoAAPS2","AAPS2     ",  -1.00000
"dDesoAAPS2","PO4       ",   1.00000
"dSWDeAAPS2","AAPS2     ",  -1.00000
"dSWDeAAPS2","PO4       ",   1.00000
"dCBOD5    ","CBOD5     ",  -1.00000
"dCBOD5_2  ","CBOD5_2   ",  -1.00000
"dCBODu    ","CBODu     ",  -1.00000
"dCBODu_2  ","CBODu_2   ",  -1.00000
"dNBOD5    ","NBOD5     ",  -1.00000
"dNBODu    ","NBODu     ",  -1.00000
"dCOD_Cr   ","COD_Cr    ",  -1.00000
"dCOD_Mn   ","COD_Mn    ",  -1.00000
"dOxyBODCOD","OXY       ",  -1.00000
"dCBOD5T   ","CBOD5     ",  -1.00000
"dCBOD5_2T ","CBOD5_2   ",  -1.00000
"dCBOD5_3T ","CBOD5_3   ",  -1.00000
"dCBODOXYT ","OXY       ",  -1.00000
"dCnvPPOC1 ","POC1      ",  -1.00000
"dCnvPPOC1 ","POC2      ",   1.00000
"dCnvPPON1 ","PON1      ",  -1.00000
"dCnvPPON1 ","PON2      ",   1.00000
"dCnvPPOP1 ","POP1      ",  -1.00000
"dCnvPPOP1 ","POP2      ",   1.00000
"dCnvPPOS1 ","POS1      ",  -1.00000
"dCnvPPOS1 ","POS2      ",   1.00000
"dCnvDPOC1 ","POC1      ",  -1.00000
"dCnvDPOC1 ","DOC       ",   1.00000
"dCnvDPON1 ","PON1      ",  -1.00000
"dCnvDPON1 ","DON       ",   1.00000
"dCnvDPOP1 ","POP1      ",  -1.00000
"dCnvDPOP1 ","DOP       ",   1.00000
"dCnvDPOS1 ","POS1      ",  -1.00000
"dCnvDPOS1 ","DOS       ",   1.00000
"dMinPOC1G ","POC1      ",  -1.00000
"dMinPON1  ","PON1      ",  -1.00000
"dMinPON1  ","NH4       ",   1.00000
"dMinPOP1  ","POP1      ",  -1.00000
"dMinPOP1  ","PO4       ",   1.00000
"dMinPOS1  ","POS1      ",  -1.00000
"dMinPOS1  ","SUD       ",   1.00000
"dCnvPPOC2 ","POC2      ",  -1.00000
"dCnvPPOC2 ","POC3      ",   1.00000
"dCnvPPON2 ","PON2      ",  -1.00000
"dCnvPPON2 ","PON3      ",   1.00000
"dCnvPPOP2 ","POP2      ",  -1.00000
"dCnvPPOP2 ","POP3      ",   1.00000
"dCnvPPOS2 ","POS2      ",  -1.00000
"dCnvPPOS2 ","POS3      ",   1.00000
"dCnvDPOC2 ","POC2      ",  -1.00000
"dCnvDPOC2 ","DOC       ",   1.00000
"dCnvDPON2 ","PON2      ",  -1.00000
"dCnvDPON2 ","DON       ",   1.00000
"dCnvDPOP2 ","POP2      ",  -1.00000
"dCnvDPOP2 ","DOP       ",   1.00000
"dCnvDPOS2 ","POS2      ",  -1.00000
"dCnvDPOS2 ","DOS       ",   1.00000
"dMinPOC2G ","POC2      ",  -1.00000
"dMinPON2  ","PON2      ",  -1.00000
"dMinPON2  ","NH4       ",   1.00000
"dMinPOP2  ","POP2      ",  -1.00000
"dMinPOP2  ","PO4       ",   1.00000
"dMinPOS2  ","POS2      ",  -1.00000
"dMinPOS2  ","SUD       ",   1.00000
"dCnvPPOC3 ","POC3      ",  -1.00000
"dCnvPPOC3 ","POC4      ",   1.00000
"dCnvPPON3 ","PON3      ",  -1.00000
"dCnvPPON3 ","PON4      ",   1.00000
"dCnvPPOP3 ","POP3      ",  -1.00000
"dCnvPPOP3 ","POP4      ",   1.00000
"dCnvPPOS3 ","POS3      ",  -1.00000
"dCnvPPOS3 ","POS4      ",   1.00000
"dCnvDPOC3 ","POC3      ",  -1.00000
"dCnvDPOC3 ","DOC       ",   1.00000
"dCnvDPON3 ","PON3      ",  -1.00000
"dCnvDPON3 ","DON       ",   1.00000
"dCnvDPOP3 ","POP3      ",  -1.00000
"dCnvDPOP3 ","DOP       ",   1.00000
"dCnvDPOS3 ","POS3      ",  -1.00000
"dCnvDPOS3 ","DOS       ",   1.00000
"dMinPOC3G ","POC3      ",  -1.00000
"dMinPON3  ","PON3      ",  -1.00000
"dMinPON3  ","NH4       ",   1.00000
"dMinPOP3  ","POP3      ",  -1.00000
"dMinPOP3  ","PO4       ",   1.00000
"dMinPOS3  ","POS3      ",  -1.00000
"dMinPOS3  ","SUD       ",   1.00000
"dMinPOC4G ","POC4      ",  -1.00000
"dMinPON4  ","PON4      ",  -1.00000
"dMinPON4  ","NH4       ",   1.00000
"dMinPOP4  ","POP4      ",  -1.00000
"dMinPOP4  ","PO4       ",   1.00000
"dMinPOS4  ","POS4      ",  -1.00000
"dMinPOS4  ","SUD       ",   1.00000
"dMinDOCG  ","DOC       ",  -1.00000
"dMinDON   ","DON       ",  -1.00000
"dMinDON   ","NH4       ",   1.00000
"dMinDOP   ","DOP       ",  -1.00000
"dMinDOP   ","PO4       ",   1.00000
"dMinDOS   ","DOS       ",  -1.00000
"dMinDOS   ","SUD       ",   1.00000
"dCnvPPOC5 ","POC5      ",  -1.00000
"dCnvPPOC5 ","POC4      ",   1.00000
"dCnvPPON5 ","PON5      ",  -1.00000
"dCnvPPON5 ","PON4      ",   1.00000
"dCnvPPOP5 ","POP5      ",  -1.00000
"dCnvPPOP5 ","POP4      ",   1.00000
"dCnvPPOS5 ","POS5      ",  -1.00000
"dCnvPPOS5 ","POS4      ",   1.00000
"dCnvDPOC5 ","POC5      ",  -1.00000
"dCnvDPOC5 ","DOC       ",   1.00000
"dCnvDPON5 ","PON5      ",  -1.00000
"dCnvDPON5 ","DON       ",   1.00000
"dCnvDPOP5 ","POP5      ",  -1.00000
"dCnvDPOP5 ","DOP       ",   1.00000
"dCnvDPOS5 ","POS5      ",  -1.00000
"dCnvDPOS5 ","DOS       ",   1.00000
"dMinPOC5G ","POC5      ",  -1.00000
"dMinPON5  ","PON5      ",  -1.00000
"dMinPON5  ","NH4       ",   1.00000
"dMinPOP5  ","POP5      ",  -1.00000
"dMinPOP5  ","PO4       ",   1.00000
"dMinPOS5  ","POS5      ",  -1.00000
"dMinPOS5  ","SUD       ",   1.00000
"dMinPOC5E ","POC5      ",  -1.00000
"dMinPOC5E ","OXY       ",  -2.67000
"dMinPOC5E ","TIC       ",   1.00000
"dMinPOC5E ","H2O       ",   1.50000
"dMinPOC5A ","OXY       ",   2.67000
"dMinPOC5A ","TIC       ",  -1.00000
"dPrecipPO4","PO4       ",  -1.00000
"dPrecipPO4","VIVP      ",   1.00000
"dDissolPO4","PO4       ",   1.00000
"dDissolPO4","VIVP      ",  -1.00000
"dDissolSi ","Si        ",   1.00000
"dDissolSi ","Opal      ",  -1.00000
"dSOD      ","SOD       ",  -1.00000
"dOxSOD    ","OXY       ",  -1.00000
"dPPGreen  ","OXY       ",   2.67000
"dPPGreen  ","TIC       ",  -1.00000
"dPPGreen  ","H2O       ",  -1.50000
"dPPGreen  ","Green     ",   1.00000
"dMrtGreen ","Green     ",  -1.00000
"dPPDiat   ","OXY       ",   2.67000
"dPPDiat   ","TIC       ",  -1.00000
"dPPDiat   ","H2O       ",  -1.50000
"dPPDiat   ","Diat      ",   1.00000
"dMrtDiat  ","Diat      ",  -1.00000
"dPPDiatS1 ","OXY       ",   2.67000
"dPPDiatS1 ","TIC       ",  -1.00000
"dPPDiatS1 ","H2O       ",  -1.50000
"dPPDiatS1 ","DiatS1    ",   1.00000
"dMrtDiatS1","DiatS1    ",  -1.00000
"dNH4UptS1 ","NH4       ",  -1.00000
"dNH4UptS1 ","H+        ",   0.07100
"dNH4UptS1 ","ALKA      ",  -4.35700
"dNO3UptS1 ","NO3       ",  -1.00000
"dNO3UptS1 ","OXY       ",   4.57100
"dNO3UptS1 ","H+        ",  -0.07100
"dNO3UptS1 ","ALKA      ",   4.35700
"dNO3UptS1 ","H2O       ",  -1.28600
"dPO4UptS1 ","PO4       ",  -1.00000
"dPO4UptS1 ","H+        ",  -0.03200
"dPO4UptS1 ","ALKA      ",   1.96800
"dSiUptS1  ","Si        ",  -1.00000
"dNH4US1D  ","NH4       ",  -1.00000
"dNH4US1D  ","H+        ",   0.07100
"dNH4US1D  ","ALKA      ",  -4.35700
"dPO4US1D  ","PO4       ",  -1.00000
"dPO4US1D  ","H+        ",  -0.03200
"dPO4US1D  ","ALKA      ",   1.96800
"dSiUS1D   ","Si        ",  -1.00000
"dcPPGreen ","OXY       ",   2.67000
"dcPPGreen ","TIC       ",  -1.00000
"dcPPGreen ","H2O       ",  -1.50000
"dcPPGreen ","Green     ",   1.00000
"dcPPDiat  ","OXY       ",   2.67000
"dcPPDiat  ","TIC       ",  -1.00000
"dcPPDiat  ","H2O       ",  -1.50000
"dcPPDiat  ","Diat      ",   1.00000
"dMortDetC ","POC1      ",   1.00000
"dMortOOC  ","POC2      ",   1.00000
"dNH4Aut   ","NH4       ",   1.00000
"dNH4Aut   ","H+        ",  -0.07100
"dNH4Aut   ","ALKA      ",   4.35700
"dMortDetN ","PON1      ",   1.00000
"dMortOON  ","PON2      ",   1.00000
